ts,run_id,schema_version,chain,token_address,token_symbol,source,verified,honeypot,buy_tax,sell_tax,can_mint,can_blacklist,can_pause,is_proxy,owner_renounced,lp_locked_or_burned,hard_reject,reject_reason,token_name,goplus_queried,honeypot_queried,decision,reject_reasons
2026-06-21T10:53:26.886Z,50a204e9-b23b-47f0-8ee3-015304bb657f,1.0.0,base,0x5c80454959088b436fe68d2dfabba877b7e3f907,GRO95K,goplus,false,false,,,,,,,,,false,,GRO95K,true,true,CONTRACT_SAFE,
2026-06-21T10:53:28.922Z,50a204e9-b23b-47f0-8ee3-015304bb657f,1.0.0,base,0x8591f80d14986cc2c4de54761821b89bbe2c492b,SPCXon,goplus,false,false,,,,,,,,,false,,SpaceX Tokenized Stock,true,true,CONTRACT_SAFE,
2026-06-21T10:55:21.273Z,7472f317-4db5-4cf1-813d-684bfe822c07,1.0.0,base,0x90584a4e9208947107f09bc9fd2d1baeebaae716,FLIC,goplus,false,false,,,,,,,,,false,,Flicfit,true,true,CONTRACT_SAFE,
2026-06-21T10:55:23.235Z,7472f317-4db5-4cf1-813d-684bfe822c07,1.0.0,base,0xd4fb3b65f030028f3040332a8e98718c83f85378,FREEDOM,goplus,true,false,,,false,false,false,false,false,,false,,Based Freedom,true,true,CONTRACT_SAFE,
2026-06-21T10:57:21.327Z,b11b8524-b595-4fba-b5b0-16bf68c395af,1.0.0,base,0xdafbca5046f0caaa2e6c072524b0125103bd97f2,AUTON,goplus,false,false,,,,,,,,,false,,Auton,true,true,CONTRACT_SAFE,
2026-06-21T10:57:23.074Z,b11b8524-b595-4fba-b5b0-16bf68c395af,1.0.0,base,0x1de00574cd4d2142b61d7004c7fb51b07f39bb53,API,goplus,true,false,,,false,false,false,false,false,,false,,API Vault,true,true,CONTRACT_SAFE,
2026-06-21T10:57:25.092Z,b11b8524-b595-4fba-b5b0-16bf68c395af,1.0.0,base,0xf36de3cd6452d691f2a6835c5c943b93ae1bdb07,dad,goplus,true,false,,,false,false,false,false,false,,false,,"are you winning, dad?",true,false,CONTRACT_SAFE,
2026-06-21T10:59:21.409Z,14c80bd1-8510-4b4f-aacd-64c9557f4cd8,1.0.0,base,0xc7885c340c6bb563b837748669875691f2b52ffb,AgentBox,goplus,true,false,,,false,false,false,false,true,,false,,Agent Box,true,true,CONTRACT_SAFE,
2026-06-21T10:59:23.088Z,14c80bd1-8510-4b4f-aacd-64c9557f4cd8,1.0.0,base,0x005840e74958bfab30a0ee3d27bacf8873ad57b7,MRBASE,goplus,true,false,,,false,false,false,false,,,false,,MR. Base,true,true,CONTRACT_SAFE,
2026-06-21T11:01:21.575Z,b42738d3-72c9-49aa-a095-593e0e0a738c,1.0.0,base,0xf725f302f9b09d4228e7ee033e9916149c995ba3,ZEPHYR,goplus,true,false,,,false,false,false,false,false,,false,,Zephyr Cloud,true,false,CONTRACT_SAFE,
