ts,run_id,schema_version,chain,token_address,token_symbol,token_name,pool_address,dex,quote_asset,price_usd,liquidity_usd,fdv_usd,vol_5m,vol_1h,vol_6h,vol_24h,buys_1h,sells_1h,pool_created_at,source,risk_decision
2026-06-21T10:09:20.420Z,91a11f74-36df-45c8-90e7-f98db214d12a,1.0.0,base,0xcbbb4c3a91cf7fac8d30f3545d6fc6a2dea75b10,Forever,Forever Coin,0x0d2428d454a94e6061aa53fa8077bf52c621743f,Uniswap V2 (Base),WETH,0.00000785844927000084,61937.218,36934.711569,1054.613758,5008.969845693,5008.969845693,5008.969845693,33,1,2026-06-21T09:51:51.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:09:20.617Z,91a11f74-36df-45c8-90e7-f98db214d12a,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,OpenLayer,0xd7d307a281d52bac73bbc4aca9f05cc5539a62acca3d9bab79468e4d0fa6ea43,uniswap,WETH,8.472e-7,54942.06,84723,18421.66,410569.21,1097467.35,1097467.35,647,577,2026-06-21T07:27:21.000Z,dexscreener,CONTRACT_SAFE
2026-06-21T10:11:20.979Z,6d19eaff-c1d6-441c-84b9-fbbac90b0c38,1.0.0,base,0xfad1202840ac2b4e531e4c5e4b9dbe77651b7777,Jotchua,Jotchua,0x8654533d1d793a50f1f88110884634cfac519dc582ce92c2dc297f9629606859,Uniswap V4 (Base),WETH,0.0000013171751657109,31558.4447,132363.5738,28915.0676554721,30084.2060343842,30084.2060343842,30084.2060343842,151,124,2026-06-21T10:04:37.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:11:21.028Z,6d19eaff-c1d6-441c-84b9-fbbac90b0c38,1.0.0,base,0xec39fb91b9cb89500b276722390b1c21a8e52ba3,fyp,feelyourprotocol,0x2befaba47a3a8cdda65c7797c017d13f4df0330e387543c1e5c628c74b8a8469,Uniswap V4 (Base),WETH,0.00000626171111786391,23917.5667,655370.811,13998.7232782305,191856.532521739,191856.532521739,191856.532521739,386,415,2026-06-21T09:52:05.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:11:21.309Z,6d19eaff-c1d6-441c-84b9-fbbac90b0c38,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,OpenLayer,0xd7d307a281d52bac73bbc4aca9f05cc5539a62acca3d9bab79468e4d0fa6ea43,uniswap,WETH,9.631e-7,59417.37,96315,22143.18,408361.19,1109661.6,1109661.6,653,587,2026-06-21T07:27:21.000Z,dexscreener,CONTRACT_SAFE
2026-06-21T10:13:21.215Z,ba3a6d64-a9f7-4a04-bad1-5b8ab6e94c7f,1.0.0,base,0x6e9dbc4573253a8815f60ee92040b678fd61db07,Jotchua,Jotchua,0x183e9f345432f1e10e1cec23d11bae88c2fe902c1c0da3214787e14d0687027b,Uniswap V4 (Base),WETH,0.00000519967590496071,22386.6983147251,513782.1277,10917.1279936155,46287.1940252834,46287.1940252834,46287.1940252834,117,106,2026-06-21T10:05:59.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:13:21.296Z,ba3a6d64-a9f7-4a04-bad1-5b8ab6e94c7f,1.0.0,base,0xfad1202840ac2b4e531e4c5e4b9dbe77651b7777,Jotchua,Jotchua,0x8654533d1d793a50f1f88110884634cfac519dc582ce92c2dc297f9629606859,Uniswap V4 (Base),WETH,0.00000138795802151762,32562.8177,137123.3161,6024.5523164014,32736.5382498339,32736.5382498339,32736.5382498339,165,136,2026-06-21T10:04:37.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:13:21.403Z,ba3a6d64-a9f7-4a04-bad1-5b8ab6e94c7f,1.0.0,base,0xec39fb91b9cb89500b276722390b1c21a8e52ba3,fyp,feelyourprotocol,0x2befaba47a3a8cdda65c7797c017d13f4df0330e387543c1e5c628c74b8a8469,Uniswap V4 (Base),WETH,0.00000616074662750717,23917.5667,655370.811,13998.7232782305,191856.532521739,191856.532521739,191856.532521739,386,415,2026-06-21T09:52:05.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:13:21.569Z,ba3a6d64-a9f7-4a04-bad1-5b8ab6e94c7f,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,OpenLayer,0xd7d307a281d52bac73bbc4aca9f05cc5539a62acca3d9bab79468e4d0fa6ea43,uniswap,WETH,3.957e-7,35340.77,39577,38244.56,423639.41,1134827.4,1134827.4,657,600,2026-06-21T07:27:21.000Z,dexscreener,CONTRACT_SAFE
2026-06-21T10:15:21.300Z,a18e875f-1608-4bfc-8282-0093b4c97049,1.0.0,base,0xe0903f66d4851bd5727adfbb5e96039d542c1094,VERLO,Verlo,0x296ca574368c641b7cc9ea267e81897d9841c78a,Uniswap V2 (Base),WETH,0.00000307824272069311,53527.1805,27396.3602169,779.7267418424,779.7267418424,779.7267418424,779.7267418424,6,0,2026-06-21T10:12:29.000Z,geckoterminal,CONTRACT_SAFE
